timestamp,mq7,mq8,mq135,temperature,humidity
1677073167,4095.0,1115.0,1150.0,27.1,34.0
1677073188,4095.0,1117.0,1141.0,27.1,34.0
1677073208,4095.0,1104.0,1150.0,27.1,34.0
1677073228,4095.0,1111.0,1136.0,27.1,34.0
1677073249,4095.0,1110.0,1139.0,27.1,34.0
1677073273,4095.0,1116.0,1138.0,27.1,34.0
1677073293,4095.0,1104.0,1133.0,27.1,34.0
1677073313,4095.0,1249.0,1134.0,27.1,34.0
1677073334,4095.0,1103.0,1136.0,27.1,34.0
1677073354,4095.0,1125.0,1137.0,27.1,34.0
1677073374,4095.0,1131.0,1138.0,27.1,34.0
1677073397,4095.0,1122.0,1121.0,27.1,34.0
1677073417,4095.0,1136.0,1136.0,27.1,34.0
1677073437,4095.0,1134.0,1171.0,27.1,34.0
1677073459,4095.0,1141.0,1170.0,27.1,34.0
1677073479,4095.0,1155.0,1151.0,27.1,34.0
1677073500,4095.0,1155.0,1182.0,27.1,34.0
1677073520,4095.0,1153.0,1191.0,27.1,34.0
1677073540,4095.0,1207.0,1153.0,27.1,34.0
1677074045,4095.0,1217.0,1150.0,27.1,34.0
1677074068,4095.0,1219.0,1171.0,26.7,34.0
1677074088,4095.0,1215.0,1147.0,27.0,34.0
1677074108,4095.0,1215.0,1143.0,27.1,34.0
1677074129,1014.0,1739.0,1424.0,27.1,34.0
1677074150,954.0,1793.0,1419.0,27.1,35.0
1677074171,941.0,2032.0,1445.0,27.1,34.0
1677074191,4095.0,1171.0,1488.0,26.7,34.0
1677074211,4095.0,765.0,1619.0,27.1,34.0
1677074231,4095.0,739.0,1489.0,27.1,34.0
1677074253,986.0,754.0,1488.0,27.1,34.0
1677074273,1044.0,755.0,2339.0,27.1,34.0
1677074294,1035.0,755.0,1511.0,27.1,34.0
1677074314,976.0,1357.0,1440.0,27.1,34.0
1677074335,959.0,1346.0,1439.0,27.1,34.0
1677074355,943.0,1315.0,1466.0,27.1,34.0
1677074375,957.0,1318.0,1410.0,27.1,34.0
1677074396,951.0,1300.0,1405.0,27.1,34.0
1677074416,951.0,1255.0,1410.0,27.1,34.0
1677074438,947.0,1263.0,1404.0,27.1,34.0
1677074458,945.0,1267.0,1368.0,27.1,34.0
1677074479,935.0,1239.0,1407.0,27.1,34.0
1677074499,951.0,1240.0,1408.0,27.1,34.0
1677074519,4095.0,1249.0,1407.0,27.1,34.0
1677074540,4095.0,1255.0,1410.0,27.1,34.0
1677074561,4095.0,1296.0,2163.0,27.1,34.0
1677074581,4095.0,1243.0,1411.0,27.1,34.0
1677074601,4095.0,1251.0,1429.0,27.1,34.0
1677074623,4095.0,1258.0,1430.0,27.1,33.0
1677074643,4095.0,1264.0,1438.0,27.1,33.0
1677074664,4095.0,1205.0,1436.0,27.1,33.0
1677074684,4095.0,1172.0,1424.0,27.1,33.0
1677074705,4095.0,1218.0,1437.0,27.1,33.0
1677074726,4095.0,1232.0,1454.0,27.1,33.0
1677074746,4095.0,1235.0,1392.0,27.1,33.0
1677074768,4095.0,1214.0,1399.0,27.1,33.0
1677074788,4095.0,1208.0,1395.0,27.1,33.0
1677074810,4095.0,1246.0,1435.0,27.1,33.0
1677074830,4095.0,1203.0,1403.0,27.1,33.0
1677074850,4095.0,1216.0,1407.0,27.1,33.0
1677074871,4095.0,1215.0,1410.0,27.1,33.0
1677074891,4095.0,1232.0,1424.0,27.1,33.0
1677074912,4095.0,1233.0,1424.0,27.1,33.0
1677074932,4095.0,1244.0,1451.0,27.1,33.0
1677074952,4095.0,1215.0,1452.0,27.1,33.0
1677074973,4095.0,1211.0,1430.0,27.1,33.0
1677074994,4095.0,1235.0,1470.0,27.1,33.0
1677075015,4095.0,1232.0,1462.0,27.1,33.0
1677075035,4095.0,1226.0,1487.0,27.1,33.0
1677075055,4095.0,1207.0,1466.0,27.1,33.0
1677075076,4095.0,1195.0,1477.0,27.1,33.0
1677075096,4095.0,1195.0,1472.0,27.1,33.0
1677075116,4095.0,1199.0,1466.0,26.9,33.0
1677075136,4095.0,1200.0,1466.0,26.7,33.0
1677075157,4095.0,1189.0,1453.0,26.7,33.0
1677075179,4095.0,1180.0,1475.0,26.7,33.0
1677075199,4095.0,1195.0,1484.0,26.7,33.0
1677075219,4095.0,1195.0,1489.0,26.7,33.0
1677075240,4095.0,1200.0,1502.0,26.7,33.0
1677075260,4095.0,1211.0,1526.0,26.7,33.0
1677075280,4095.0,1212.0,1491.0,26.7,33.0
1677075300,4095.0,1216.0,1489.0,26.7,33.0
1677075321,4095.0,1216.0,1488.0,26.7,33.0
1677075341,4095.0,1222.0,1488.0,26.7,33.0
1677075363,4095.0,1200.0,1488.0,26.7,33.0
1677075383,4095.0,1200.0,1505.0,26.7,33.0
1677075404,4095.0,1198.0,1484.0,26.7,33.0
1677075424,4095.0,1202.0,1482.0,26.7,33.0
1677075444,4095.0,1173.0,1434.0,26.7,33.0
1677075464,4095.0,1195.0,1481.0,26.7,33.0
1677075485,4095.0,1191.0,1488.0,26.7,33.0
1677075505,4095.0,1205.0,1482.0,26.7,33.0
1677075525,4095.0,1209.0,1486.0,26.7,33.0
1677075547,4095.0,1197.0,1485.0,26.7,33.0
1677075567,4095.0,1212.0,1487.0,26.7,33.0
1677075588,4095.0,1221.0,1488.0,26.7,33.0
1677075608,4095.0,1199.0,1486.0,26.7,33.0
1677075628,4095.0,1203.0,1490.0,26.7,33.0
1677075649,4095.0,1210.0,1489.0,26.7,33.0
1677075669,4095.0,1216.0,1492.0,26.7,33.0
1677075689,4095.0,1200.0,1499.0,26.6,33.0
1677075709,4095.0,1221.0,1515.0,26.5,33.0
1677075731,4095.0,1207.0,1499.0,26.2,33.0
1677075752,4095.0,1245.0,1506.0,26.2,33.0
1677075773,4095.0,1239.0,1525.0,26.2,33.0
1677075793,4095.0,1255.0,1504.0,26.2,33.0
1677075813,4095.0,1232.0,1493.0,26.2,33.0
1677075834,4095.0,1233.0,1503.0,26.2,33.0
1677075854,4095.0,1250.0,1502.0,26.2,33.0
1677075874,4095.0,1233.0,1502.0,26.2,33.0
1677075895,4095.0,1218.0,1504.0,26.2,33.0
1677075917,4095.0,1220.0,1505.0,26.2,33.0
1677075937,4095.0,1234.0,1506.0,26.2,33.0
1677075958,4095.0,1229.0,1514.0,26.2,33.0
1677075978,4095.0,1218.0,1530.0,26.2,33.0
1677075998,4095.0,1230.0,1535.0,26.2,33.0
1677076018,4095.0,1230.0,1552.0,26.2,33.0
1677076039,4095.0,1225.0,1555.0,26.2,33.0
1677076059,4095.0,1231.0,1559.0,26.2,33.0
1677076081,4095.0,1231.0,1553.0,26.2,33.0
1677076106,4095.0,1232.0,1562.0,26.2,33.0
1677076126,4095.0,1232.0,1578.0,26.2,33.0
1677076147,4095.0,1235.0,1586.0,26.2,33.0
1677076168,4095.0,1232.0,1587.0,26.2,33.0
1677076188,4095.0,1220.0,1587.0,26.2,33.0
1677076208,4095.0,1242.0,1583.0,26.2,33.0
1677076228,4095.0,1233.0,1579.0,26.2,33.0
1677076249,4095.0,1230.0,1571.0,26.2,33.0
1677076269,4095.0,1239.0,1578.0,25.8,33.0
1677076291,4095.0,1232.0,1579.0,25.8,33.0
1677076311,4095.0,1229.0,1571.0,25.8,33.0
1677076332,4095.0,1231.0,1570.0,25.8,33.0
1677076352,4095.0,1262.0,1567.0,25.8,33.0
1677076372,4095.0,1251.0,1567.0,25.8,33.0
1677076393,4095.0,1232.0,1555.0,25.8,33.0
1677076413,4095.0,1229.0,1552.0,25.8,33.0
1677076434,4095.0,1240.0,1550.0,25.8,33.0
1677076454,4095.0,1270.0,1555.0,25.8,33.0
1677076476,4095.0,1265.0,1562.0,25.8,33.0
1677076496,4095.0,1245.0,1563.0,25.8,33.0
1677076516,4095.0,1289.0,1582.0,25.8,33.0
1677076537,4095.0,1294.0,1575.0,25.8,34.0
1677076557,4095.0,1275.0,1549.0,25.8,34.0
1677076577,4095.0,1283.0,1552.0,25.8,34.0
1677076597,4095.0,1280.0,1554.0,25.8,34.0
1677076618,4095.0,1279.0,1566.0,25.8,34.0
1677076638,4095.0,1284.0,1559.0,25.8,34.0
1677076660,4095.0,1296.0,1569.0,25.8,34.0
1677076680,4095.0,1289.0,1575.0,25.8,34.0
1677076701,4095.0,1281.0,1573.0,25.8,34.0
1677076721,4095.0,1279.0,1585.0,25.8,34.0
1677076741,4095.0,1286.0,1578.0,25.8,34.0
1677076762,4095.0,1291.0,1582.0,25.8,34.0
1677076783,4095.0,1266.0,1584.0,25.8,34.0
1677076803,4095.0,1261.0,1575.0,25.8,34.0
1677076823,4095.0,1273.0,1579.0,25.8,34.0
1677076845,4095.0,822.0,1493.0,25.8,34.0
1677076866,4095.0,830.0,1488.0,25.8,34.0
1677076886,4095.0,841.0,1494.0,25.8,34.0
1677076906,4095.0,827.0,1488.0,25.8,34.0
1677076926,4095.0,827.0,1488.0,25.8,34.0
1677076947,4095.0,831.0,1487.0,25.8,34.0
1677076967,4095.0,832.0,1490.0,25.8,34.0
1677076987,4095.0,823.0,1493.0,26.2,34.0
1677077007,4095.0,831.0,1505.0,26.2,34.0
1677077029,4095.0,828.0,1493.0,26.2,34.0
1677077049,4095.0,828.0,1494.0,26.2,34.0
1677077072,4095.0,834.0,1493.0,26.2,34.0
1677077092,4095.0,827.0,1503.0,26.2,34.0
1677077112,4095.0,828.0,1498.0,26.2,34.0
1677077132,4095.0,827.0,1510.0,26.2,34.0
1677077154,4095.0,833.0,1485.0,26.2,34.0
1677077177,4095.0,832.0,1517.0,26.2,34.0
